Year,Month,VRP,EVRP,IV,RV,ERV
1990,1,35.9054,35.9054,53.5941,17.6888,17.6888
1990,2,32.9177,15.4736,40.2967,7.379,24.823
1990,3,26.5978,16.0878,32.4394,5.8416,16.3516
1990,4,26.2753,18.6223,31.7525,5.4773,13.1303
1990,5,19.2201,12.3845,25.1431,5.9229,12.7586
1990,6,13.0796,9.2909,20.0208,6.9412,10.73
1990,7,26.987,27.7146,37.136,10.149,9.4215
1990,8,51.0203,58.1176,74.5008,23.4805,16.3832
1990,9,57.6982,36.5551,70.616,12.9178,34.0609
1990,10,52.1602,46.5721,75.2001,23.04,28.628
1990,11,30.4216,6.8007,40.9221,10.5006,34.1215
1990,12,50.2439,40.209,57.992,7.7481,17.783
1991,1,19.8734,14.0409,36.4357,16.5623,22.3947
1991,2,24.7257,18.8972,37.5594,12.8337,18.6622
1991,3,14.9701,6.1684,23.7445,8.7745,17.5761
1991,4,18.0895,16.3439,27.7248,9.6353,11.3809
1991,5,14.6129,8.1022,21.1471,6.5342,13.0449
1991,6,26.4061,22.2128,31.8502,5.4441,9.6374
1991,7,12.701,6.4246,19.2027,6.5017,12.7781
1991,8,9.5733,8.4477,17.4243,7.851,8.9766
1991,9,16.4127,12.0229,20.9352,4.5225,8.9123
1991,10,15.0544,11.1905,19.9692,4.9148,8.7787
1991,11,24.8364,25.5952,34.2056,9.3693,8.6104
1991,12,22.9771,15.972,31.073,8.0959,15.101
1992,1,17.0722,11.6721,25.23,8.1578,13.5579
1992,2,18.221,11.5507,23.1852,4.9642,11.6345
1992,3,17.327,12.1143,21.816,4.4891,9.7018
1992,4,13.3759,11.0392,20.0984,6.7225,9.0592
1992,5,12.2742,6.6467,16.0083,3.7341,9.3616
1992,6,10.3259,8.0243,14.8519,4.526,6.8275
1992,7,9.6272,7.7018,14.4541,4.8269,6.7523
1992,8,11.7631,8.6304,15.368,3.6049,6.7376
1992,9,13.9343,10.4297,16.9932,3.0589,6.5635
1992,10,14.4022,14.8439,21.7352,7.333,6.8914
1992,11,11.2196,3.9586,14.105,2.8854,10.1464
1992,12,10.2534,7.3065,13.1671,2.9137,5.8606
1993,1,9.4876,7.2956,12.8547,3.3671,5.5591
1993,2,9.3831,8.7996,14.4321,5.049,5.6326
1993,3,7.9175,6.2661,13.0834,5.1659,6.8173
1993,4,8.0936,6.4412,12.8547,4.7611,6.4135
1993,5,10.7938,8.9414,15.1201,4.3263,6.1787
1993,6,7.3938,3.8022,10.5656,3.1719,6.7635
1993,7,8.7477,6.673,11.4661,2.7184,4.7931
1993,8,9.4471,6.7863,11.7019,2.2547,4.9155
1993,9,10.4017,9.2492,14.0617,3.66,4.8125
1993,10,8.5069,4.7947,10.9443,2.4374,6.1496
1993,11,12.1877,11.1466,15.7781,3.5904,4.6316
1993,12,9.6009,4.6351,11.3296,1.7288,6.6945
1994,1,7.358,4.934,9.4164,2.0584,4.4824
1994,2,14.4292,14.4526,18.4264,3.9972,3.9738
1994,3,27.0343,27.1136,34.8502,7.816,7.7366
1994,4,8.0452,1.0938,15.8011,7.7559,14.7073
1994,5,9.6803,5.8144,14.1484,4.4681,8.334
1994,6,14.663,12.1799,18.6751,4.0121,6.4951
1994,7,7.8015,2.4977,10.3231,2.5216,7.8254
1994,8,9.0176,7.4826,11.9401,2.9225,4.4574
1994,9,13.3732,11.8397,16.9932,3.62,5.1535
1994,10,12.8008,10.555,17.6661,4.8654,7.1111
1994,11,14.5262,13.3769,21.2002,6.674,7.8233
1994,12,10.4366,4.8101,14.52,4.0834,9.7099
1995,1,9.1658,5.4518,11.9201,2.7543,6.4683
1995,2,9.4248,6.4242,11.5052,2.0804,5.081
1995,3,11.0168,10.2178,14.8964,3.8796,4.6786
1995,4,8.9891,4.9913,11.5052,2.5161,6.5139
1995,5,9.2506,8.9109,13.7602,4.5096,4.8493
1995,6,6.2258,4.41,10.792,4.5662,6.382
1995,7,10.2589,9.7502,15.165,4.9061,5.4148
1995,8,7.4287,4.0536,11.0592,3.6305,7.0056
1995,9,10.657,8.3884,13.5256,2.8687,5.1372
1995,10,11.5482,10.2781,15.9391,4.3909,5.6609
1995,11,8.5363,4.1129,11.1747,2.6384,7.0618
1995,12,9.2318,8.2754,13.0625,3.8307,4.7871
1996,1,6.2807,7.1999,13.0834,6.8027,5.8835
1996,2,15.4671,17.1421,24.1968,8.7297,7.0547
1996,3,18.9536,18.1904,29.7045,10.7509,11.5141
1996,4,14.1619,6.7405,20.8824,6.7205,14.1419
1996,5,14.256,11.8982,21.5204,7.2644,9.6222
1996,6,10.4794,5.5473,15.5952,5.1158,10.0479
1996,7,13.3234,24.3265,31.5576,18.2343,7.2311
1996,8,19.5613,6.4205,24.1117,4.5503,17.6912
1996,9,18.2089,14.0934,23.9419,5.733,9.8485
1996,10,22.4557,17.0758,27.331,4.8753,10.2552
1996,11,19.6608,13.4327,24.4816,4.8208,11.0489
1996,12,25.1198,26.3928,36.4705,11.3508,10.0777
1997,1,18.5619,14.9579,31.5901,13.0282,16.6322
1997,2,27.3941,21.4383,37.1008,9.7068,15.6625
1997,3,28.2277,24.65,40.8483,12.6206,16.1983
1997,4,18.043,14.9447,33.5336,15.4906,18.5889
1997,5,16.7757,13.413,30.688,13.9123,17.275
1997,6,27.5567,22.9203,38.6284,11.0717,15.7082
1997,7,24.8431,21.207,38.4492,13.6061,17.2422
1997,8,28.425,32.9128,51.0881,22.6631,18.1753
1997,9,30.3751,17.8026,43.739,13.3639,25.9364
1997,10,64.1708,82.7653,102.609,38.4382,19.8437
1997,11,46.377,13.4103,62.7004,16.3234,49.2901
1997,12,34.0974,20.7164,48.04,13.9426,27.3236
1998,1,22.618,16.9093,38.4134,15.7954,21.5041
1998,2,21.2434,9.6542,28.6752,7.4318,19.021
1998,3,41.0088,36.3855,48.884,7.8752,12.4985
1998,4,27.3293,17.9742,37.3827,10.0534,19.4085
1998,5,28.0328,21.4505,37.8785,9.8457,16.428
1998,6,18.8789,15.8618,32.3737,13.4947,16.5119
1998,7,37.6684,35.1469,51.2533,13.585,16.1065
1998,8,115.8531,140.9581,163.3932,47.5401,22.4351
1998,9,71.2983,66.6245,139.7419,68.4436,73.1174
1998,10,12.0462,-7.8557,65.5669,53.5207,73.4226
1998,11,43.6925,13.5254,56.3767,12.6842,42.8513
1998,12,32.2986,25.9047,49.6947,17.3961,23.79
1999,1,33.8067,34.0133,57.4219,23.6152,23.4086
1999,2,39.544,36.3538,64.7745,25.2306,28.4207
1999,3,24.9518,13.5812,45.0856,20.1338,31.5044
1999,4,29.5311,29.4307,52.3754,22.8443,22.9447
1999,5,28.6386,27.2845,53.721,25.0824,26.4365
1999,6,20.7194,9.3038,37.0657,16.3462,27.7618
1999,7,38.3755,31.8066,50.5941,12.2187,18.7876
1999,8,31.0145,28.1368,49.8169,18.8024,21.6801
1999,9,32.0597,29.8055,53.8057,21.746,24.0002
1999,10,15.9112,14.587,41.07,25.1588,26.483
1999,11,33.9662,25.148,48.7227,14.7565,23.5747
1999,12,35.7088,28.5436,50.5941,14.8853,22.0505
2000,1,23.8921,29.1504,51.8752,27.9831,22.7248
2000,2,18.8877,17.2302,45.5131,26.6254,28.2829
2000,3,10.4004,22.8107,48.441,38.0406,25.6303
2000,4,-9.724,26.1251,57.2033,66.9273,31.0782
2000,5,10.8624,1.2947,46.6102,35.7478,45.3155
2000,6,13.1297,2.2479,31.8176,18.688,29.5698
2000,7,22.24,17.89,35.8456,13.6056,17.9556
2000,8,12.9085,6.3249,23.6321,10.7236,17.3073
2000,9,16.0563,23.1534,35.2604,19.2041,12.107
2000,10,0.7567,27.226,46.5314,45.7747,19.3054
2000,11,37.4267,39.7886,73.2602,35.8335,33.4716
2000,12,24.7904,21.5901,60.0769,35.2865,38.4867
2001,1,5.2306,6.5287,40.4067,35.1761,33.878
2001,2,42.2919,39.6989,66.9769,24.685,27.2779
2001,3,13.2787,36.3293,68.3541,55.0755,32.0248
2001,4,13.9733,9.713,54.1025,40.1292,44.3895
2001,5,23.624,8.9305,42.7141,19.0901,33.7836
2001,6,12.7123,8.5283,30.2736,17.5613,21.7453
2001,7,23.0576,21.9525,38.952,15.8944,16.9996
2001,8,34.0391,32.5112,51.7505,17.7114,19.2394
2001,9,35.721,60.743,84.9604,49.2394,24.2174
2001,10,58.3443,46.2175,93.8561,35.5118,47.6386
2001,11,25.1728,2.1361,47.3621,22.1893,45.2261
2001,12,35.7873,22.6945,47.2033,11.4161,24.5088
2002,1,20.8956,16.8303,37.0657,16.1701,20.2354
2002,2,19.4193,20.1254,38.844,19.4247,18.7186
2002,3,11.5046,4.6436,25.23,13.7254,20.5864
2002,4,24.6613,26.1884,40.004,15.3427,13.8156
2002,5,14.5732,13.8928,33.2667,18.6935,19.3739
2002,6,15.5733,35.3225,53.7633,38.19,18.4408
2002,7,-21.8967,52.5825,85.4934,107.3901,32.9109
2002,8,29.556,18.1837,88.7808,59.2248,70.5971
2002,9,80.6108,78.4508,131.2747,50.6639,52.8239
2002,10,-0.097,17.1734,80.8083,80.9053,63.6349
2002,11,31.6829,4.361,63.0208,31.338,58.6599
2002,12,43.3278,34.9463,68.2587,24.9309,33.3124
2003,1,55.7305,48.4157,80.9641,25.2335,32.5484
2003,2,46.5227,36.2593,73.1614,26.6387,36.9021
2003,3,34.7469,35.9585,70.8102,36.0633,34.8517
2003,4,12.8601,-0.2714,37.4887,24.6286,37.7601
2003,5,14.8049,9.4169,31.5901,16.7851,22.1732
2003,6,14.3919,14.6182,31.7525,17.3606,17.1343
2003,7,9.9036,14.2411,31.655,21.7514,17.4139
2003,8,15.2008,9.8216,28.9231,13.7223,19.1015
2003,9,30.5595,27.9711,43.0165,12.457,15.0454
2003,10,6.8398,2.3532,21.6008,14.761,19.2476
2003,11,13.5734,9.1836,22.1952,8.6218,13.0116
2003,12,20.7938,17.1334,27.938,7.1442,10.8046
2004,1,14.086,10.9063,23.0464,8.9604,12.1401
2004,2,9.8728,6.4208,17.6419,7.7691,11.221
2004,3,9.4462,14.3995,23.3523,13.9061,8.9528
2004,4,13.4427,11.3642,24.6247,11.182,13.2605
2004,5,5.2403,7.4034,20.0208,14.7805,12.6174
2004,6,10.6631,4.6438,17.1363,6.4732,12.4925
2004,7,10.0533,11.2819,19.5585,9.5052,8.2766
2004,8,10.4318,9.2102,19.482,9.0502,10.2718
2004,9,9.0262,4.7616,14.8296,5.8034,10.068
2004,10,14.1218,14.8141,22.0594,7.9376,7.2453
2004,11,6.6873,4.1168,14.6081,7.9209,10.4914
2004,12,8.9618,6.7177,14.7187,5.7568,8.001
2005,1,5.7193,6.506,13.696,7.9767,7.1901
2005,2,7.5783,4.4417,12.1605,4.5822,7.7189
2005,3,8.7577,10.5028,16.38,7.6223,5.8772
2005,4,7.8733,11.0583,19.533,11.6597,8.4747
2005,5,6.82,3.6113,14.7187,7.8987,11.1073
2005,6,5.9874,4.051,12.0801,6.0928,8.0292
2005,7,5.2186,4.7132,11.1554,5.9368,6.4422
2005,8,6.5591,7.1572,13.23,6.6709,6.0728
2005,9,5.3559,4.7886,11.8405,6.4846,7.0519
2005,10,7.0583,13.0427,19.5585,12.5003,6.5158
2005,11,6.8256,0.6751,12.1203,5.2947,11.4452
2005,12,7.1476,5.9975,12.1404,4.9928,6.1429
2006,1,6.9877,7.9439,13.9752,6.9875,6.0313
2006,2,7.2603,5.2653,12.6896,5.4294,7.4244
2006,3,5.1758,4.4256,10.811,5.6352,6.3854
2006,4,3.9782,5.3541,11.194,7.2158,5.8399
2006,5,10.6306,15.9361,22.5228,11.8922,6.5867
2006,6,0.0714,2.0622,14.2572,14.1858,12.195
2006,7,8.5007,8.2869,18.6252,10.1246,10.3384
2006,8,4.0997,2.4247,12.628,8.5283,10.2033
2006,9,6.9885,4.3811,11.96,4.9715,7.5789
2006,10,5.4026,4.3046,10.2675,4.8649,5.9629
2006,11,4.3349,4.5621,9.919,5.5842,5.3569
2006,12,6.9593,5.6136,11.1361,4.1768,5.5225
2007,1,3.8813,3.6711,9.048,5.1668,5.3769
2007,2,12.8325,14.746,19.8147,6.9822,5.0687
2007,3,0.6281,8.492,17.8608,17.2327,9.3688
2007,4,12.0013,4.1175,16.8507,4.8494,12.7332
2007,5,7.8009,6.6466,14.1919,6.391,7.5453
2007,6,10.636,14.6882,21.9511,11.3151,7.2629
2007,7,28.7886,34.3208,46.0992,17.3106,11.7784
2007,8,-1.5016,23.3755,45.552,47.0536,22.1766
2007,9,11.9168,-6.6461,27,15.0832,33.6461
2007,10,11.6295,13.6759,28.6134,16.9839,14.9375
2007,11,2.8071,27.3665,43.5864,40.7793,16.2199
2007,12,18.1362,11.6546,42.1875,24.0513,30.5329
2008,1,-24.1685,33.69,57.2033,81.3718,23.5133
2008,2,26.232,7.7234,58.6976,32.4656,50.9742
2008,3,3.2104,22.3429,54.656,51.4456,32.3131
2008,4,13.4642,-2.3827,36.0187,22.5544,38.4014
2008,5,13.2069,5.6217,26.4924,13.2855,20.8707
2008,6,24.1558,33.7361,47.8002,23.6444,14.0641
2008,7,2.866,18.6288,43.8536,40.9876,25.2249
2008,8,15.7629,4.8316,35.5352,19.7723,30.7036
2008,9,-9.4708,109.6781,129.2977,138.7684,19.6196
2008,10,-218.5638,201.4098,298.901,517.4648,97.4912
2008,11,8.306,-47.7254,254.6565,246.3506,302.382
2008,12,-11.3457,-48.0902,133.3333,144.679,181.4236
2009,1,70.822,66.4002,167.5521,96.7301,101.1519
2009,2,77.8161,85.2528,179.0269,101.2108,93.7741
2009,3,31.003,63.0073,162.3616,131.3586,99.3544
2009,4,38.9557,5.411,111.0208,72.0651,105.6098
2009,5,21.9618,4.4296,69.6972,47.7354,65.2676
2009,6,24.9186,15.8985,57.8602,32.9416,41.9617
2009,7,26.3099,23.7668,55.9872,29.6773,32.2204
2009,8,32.887,26.0594,56.3767,23.4897,30.3173
2009,9,36.5844,26.6329,54.656,18.0716,28.0231
2009,10,54.9727,53.1627,78.4897,23.5169,25.327
2009,11,24.6335,14.6568,50.0617,25.4282,35.4048
2009,12,25.778,12.491,39.1685,13.3905,26.6775
2010,1,35.8021,32.1814,50.512,14.7099,18.3306
2010,2,8.9274,9.0588,31.6875,22.7601,22.6287
2010,3,16.6244,6.2765,25.784,9.1596,19.5075
2010,4,27.6992,28.3053,40.5169,12.8177,12.2116
2010,5,-4.9741,67.1514,85.7071,90.6811,18.5557
2010,6,59.3896,35.2951,99.4176,40.028,64.1225
2010,7,14.9573,-2.8283,46.0208,31.0635,48.8491
2010,8,29.0573,29.012,56.5502,27.4929,27.5382
2010,9,28.2687,17.1583,46.8075,18.5388,29.6492
2010,10,22.6484,14.5595,37.4533,14.805,22.8938
2010,11,26.8168,27.8646,46.1776,19.3608,18.313
2010,12,18.6383,3.2493,26.2552,7.6169,23.0059
2011,1,24.2112,20.0208,31.7851,7.5739,11.7643
2011,2,18.6508,14.4695,28.0602,9.4094,13.5908
2011,3,-1.7329,13.1574,26.2256,27.9585,13.0682
2011,4,7.4707,-1.5932,18.1302,10.6595,19.7234
2011,5,5.4421,9.6439,19.8919,14.4498,10.2479
2011,6,5.364,10.4225,22.7425,17.3785,12.32
2011,7,36.5825,38.7126,53.1302,16.5477,14.4176
2011,8,-38.6148,59.0973,83.3187,121.9335,24.2214
2011,9,77.2966,78.2272,153.7968,76.5002,75.5696
2011,10,19.8831,-6.4637,74.8001,54.9171,81.2638
2011,11,2.5655,17.9272,64.4033,61.8379,46.4761
2011,12,22.1362,-0.0917,45.63,23.4938,45.7217
2012,1,17.5015,7.0503,31.4928,13.9913,24.4425
2012,2,19.9323,12.298,28.3054,8.3731,16.0074
2012,3,11.2778,7.2769,20.0208,8.743,12.744
2012,4,11.1367,14.3829,24.5102,13.3736,10.1273
2012,5,30.2724,34.8025,48.2403,17.9679,13.4378
2012,6,4.5996,1.1628,24.3105,19.7109,23.1478
2012,7,13.6199,14.0081,29.8621,16.2422,15.854
2012,8,15.3676,9.0878,25.4334,10.0658,16.3456
2012,9,14.0605,8.1697,20.6194,6.5589,12.4497
2012,10,17.6835,19.3588,28.83,11.1465,9.4712
2012,11,5.7418,6.9827,20.9881,15.2462,14.0053
2012,12,17.928,14.0626,27.06,9.132,12.9974
2013,1,8.8522,4.3671,16.9932,8.141,12.6261
2013,2,13.4413,11.1644,20.0467,6.6054,8.8823
2013,3,5.4056,4.1423,13.4408,8.0352,9.2985
2013,4,2.8809,7.5758,15.2325,12.3516,7.6567
2013,5,11.2259,12.1959,22.1408,10.915,9.9449
2013,6,4.4336,12.0034,23.6883,19.2547,11.6849
2013,7,6.9345,-0.3926,15.0752,8.1407,15.4678
2013,8,16.0349,15.8689,24.1117,8.0767,8.2428
2013,9,14.5738,11.7334,22.9633,8.3895,11.2299
2013,10,5.68,4.7855,15.7552,10.0752,10.9697
2013,11,11.1871,6.4135,15.6408,4.4538,9.2273
2013,12,9.5654,8.6995,15.6865,6.1211,6.987
2014,1,18.5216,20.5886,28.244,9.7224,7.6554
2014,2,9.1573,3.0813,16.3333,7.176,13.2521
2014,3,5.2474,7.7702,16.0545,10.8071,8.2843
2014,4,5.5559,5.3718,14.9857,9.4298,9.6139
2014,5,5.3777,2.112,10.83,5.4523,8.718
2014,6,8.2195,5.3809,11.1554,2.9359,5.7746
2014,7,17.2004,19.0447,23.9419,6.7415,4.8972
2014,8,5.5348,1.3098,11.96,6.4252,10.6503
2014,9,15.8906,15.6356,22.168,6.2774,6.5324
2014,10,-10.8885,6.5262,16.4034,27.2919,9.8772
2014,11,10.9088,-1.3807,14.8074,3.8986,16.1881
2014,12,17.5331,24.2283,30.72,13.1869,6.4917
2015,1,16.2958,21.2104,36.6451,20.3493,15.4347
2015,2,7.9046,-5.386,14.8296,6.925,20.2156
2015,3,9.7785,11.7973,19.482,9.7035,7.6847
2015,4,10.7024,7.3179,17.6419,6.9395,10.324
2015,5,9.1241,7.3343,15.9621,6.8381,8.6278
2015,6,18.7258,19.6663,27.6944,8.9686,8.0281
2015,7,0.9648,-0.5324,12.2412,11.2764,12.7736
2015,8,-11.7472,58.8288,67.3554,79.1026,8.5266
2015,9,16.2587,-3.4485,50.0208,33.7621,53.4693
2015,10,4.276,-11.0033,18.9254,14.6494,29.9287
2015,11,14.1915,9.6054,21.6814,7.4899,12.076
2015,12,9.1229,17.4437,27.6337,18.5108,10.1899
