Date,Price
20150102,23.66
20150105,23.46
20150106,23.16
20150107,23.12
20150108,23.74
20150109,23.41
20150112,23.23
20150113,23.20
20150114,22.74
20150115,22.31
20150116,22.58
20150120,22.59
20150121,22.47
20150122,24.05
20150123,23.89
20150126,23.59
20150127,23.02
20150128,22.66
20150129,22.71
20150130,22.31
20150202,22.61
20150203,22.83
20150204,22.61
20150205,22.85
20150206,22.94
20150209,22.87
20150210,23.26
20150211,23.21
20150212,23.04
20150213,23.77
20150217,23.75
20150218,23.95
20150219,24.26
20150220,24.42
20150223,24.44
20150224,24.58
20150225,24.56
20150226,24.64
20150227,24.37
20150302,24.57
20150303,24.52
20150304,24.54
20150305,24.87
20150306,25.20
20150309,25.59
20150310,24.92
20150311,25.12
20150312,25.00
20150313,24.86
20150316,25.07
20150317,25.04
20150318,24.59
20150319,24.36
20150320,24.38
20150323,24.67
20150324,25.05
20150325,24.44
20150326,24.21
20150327,24.26
20150330,24.38
20150331,24.28
20150401,24.04
20150402,23.95
20150406,23.91
20150407,24.02
20150408,24.04
20150409,23.99
20150410,24.13
20150413,23.96
20150414,23.97
20150415,24.00
20150416,24.01
20150417,23.48
20150420,23.60
20150421,23.75
20150422,23.88
20150423,24.79
20150424,24.92
20150427,24.87
20150428,25.03
20150429,24.78
20150430,24.52
20150501,24.96
20150504,24.88
20150505,24.39
20150506,24.20
20150507,24.39
20150508,24.76
20150511,24.55
20150512,24.54
20150513,24.75
20150514,25.29
20150515,25.00
20150518,25.03
20150519,24.94
20150520,24.89
20150521,25.14
20150522,25.13
20150526,24.72
20150527,24.99
20150528,25.49
20150529,25.82
20150601,26.33
20150602,26.09
20150603,26.10
20150604,26.30
20150605,26.61
20150608,25.61
20150609,25.43
20150610,25.45
20150611,25.44
20150612,25.26
20150615,25.25
20150616,25.47
20150617,25.48
20150618,25.54
20150619,25.74
20150622,25.99
20150623,26.06
20150624,25.93
20150625,25.93
20150626,25.69
20150629,24.99
20150630,25.35
20150701,25.43
20150702,26.03
20150706,25.99
20150707,26.09
20150708,25.67
20150709,26.00
20150710,26.25
20150713,26.71
20150714,26.76
20150715,26.70
20150716,27.61
20150717,27.90
20150720,28.57
20150721,28.60
20150722,28.45
20150723,28.43
20150724,28.23
20150727,28.00
20150728,28.33
20150729,28.75
20150730,28.37
20150731,28.12
20150803,28.33
20150804,28.41
20150805,28.56
