Date,icc
19771,12.58
19772,12.79
19773,10.48
19774,9.44
19775,9.63
19776,9.46
19777,9.47
19778,8.7
19779,9.01
197710,8.87
197711,9.12
197712,8.89
19781,8.87
19782,8.85
19783,8.92
19784,8.15
19785,7.69
19786,6.85
19787,6.92
19788,7.01
19789,5.42
197810,5.35
197811,5.01
197812,5.63
19791,6.47
19792,4.95
19793,4.95
19794,6.33
19795,5.54
19796,5.27
19797,5.43
19798,5
19799,3.63
197910,3.27
197911,2.43
197912,3.37
19801,4.35
19802,2.06
19803,3.51
19804,3.62
19805,8.8
19806,10.03
19807,9.85
19808,8.4
19809,5.98
198010,4.45
198011,3.14
198012,-0.04
19811,2.98
19812,1.33
19813,5.44
19814,5.49
19815,4.74
19816,2.79
19817,3.44
19818,3.07
19819,3.46
198110,5.44
198111,6.53
198112,8.88
19821,8.69
19822,7.5
19823,8.58
19824,7.18
19825,8.05
19826,8.17
19827,9.43
19828,11.97
19829,13.85
198210,11.5
198211,9.81
198212,9.98
19831,9.62
19832,8.81
19833,12.09
19834,9.58
19835,10.1
19836,9.74
19837,9
19838,9.15
19839,9.7
198310,9.91
198311,10.14
198312,10.25
19841,11.37
19842,11.13
19843,9.89
19844,8.6
19845,8.88
19846,8.57
19847,8.71
19848,8.43
19849,6.28
198410,6.29
198411,8.54
198412,9.67
19851,9.13
19852,8.57
19853,7.09
19854,7.24
19855,7.69
19856,7.91
19857,8.57
19858,7.8
19859,8.46
198510,8.6
198511,8.45
198512,8.75
19861,8.89
19862,8.15
19863,6.65
19864,6.74
19865,7
19866,6.84
19867,6.82
19868,7.43
19869,7.7
198610,8.45
198611,8.46
198612,9.02
19871,8.8
19872,7.88
19873,7.77
19874,7.47
19875,8.45
19876,7.73
19877,7.95
19878,7.38
19879,7.3
198710,6.99
198711,9.79
198712,11.88
19881,11.37
19882,9.49
19883,7.88
19884,6.86
19885,6.73
19886,7.29
19887,5.9
19888,6.32
19889,5.87
198810,5.86
198811,6.1
198812,6.55
19891,6.5
19892,4.85
19893,5.13
19894,3.61
19895,3.39
19896,3.13
19897,3.4
19898,3.66
19899,3.69
198910,3.82
198911,4.12
198912,5
19901,5.58
19902,4.63
19903,4.52
19904,4.76
19905,5.28
19906,5.53
19907,5.03
19908,5.29
19909,5.72
199010,6.39
199011,6.94
199012,6.04
19911,6.83
19912,6.82
19913,6.06
19914,6.09
19915,6.72
19916,7.36
19917,7.86
19918,7.59
19919,7.83
199110,8.28
199111,8.45
199112,8.99
19921,9.19
19922,8.4
19923,8.35
19924,8.8
19925,9.52
19926,9.62
19927,10.29
19928,10.62
19929,10.38
199210,10.43
199211,10.59
199212,10.55
19931,9.97
19932,9.93
19933,9.88
19934,9.48
19935,9.47
19936,8.92
19937,9.05
19938,9.24
19939,8.54
199310,8.66
199311,8.68
199312,9.14
19941,8.8
19942,8.88
19943,8.78
19944,8.37
19945,8.77
19946,8.61
19947,8.91
19948,8.87
19949,8.31
199410,8.29
199411,8.74
199412,8.18
19951,8.68
19952,7.68
19953,6.89
19954,5.93
19955,5.93
19956,5.78
19957,6.13
19958,5.92
19959,6.02
199510,5.83
199511,6.02
199512,5.59
19961,6.13
19962,5.96
19963,5.09
19964,5.27
19965,5.8
19966,5.38
19967,5.73
19968,5.9
19969,5.56
199610,5.58
199611,5.51
199612,5.5
19971,5.7
19972,5.34
19973,4.67
19974,4.78
19975,5.3
19976,5.4
19977,4.43
19978,4.21
19979,4.54
199710,4.69
199711,4.39
199712,4.38
19981,4.03
19982,4.15
19983,3.69
19984,3.52
19985,4.12
19986,4.38
19987,4.37
19988,4.17
19989,4.7
199810,5.94
199811,6.92
199812,5.04
19991,4.89
19992,4.35
19993,4.08
19994,3.69
19995,3.82
19996,3.95
19997,3.94
19998,3.85
19999,4.09
199910,4.25
199911,4.61
199912,3.65
20001,3.07
20002,2.7
20003,2.47
20004,1.91
20005,2.68
20006,3.37
20007,2.17
20008,2.01
20009,1.54
200010,1.84
200011,2.18
200012,1.93
20011,2.21
20012,3.35
20013,3.61
20014,4.69
20015,5.05
20016,5.29
20017,5.65
20018,5.72
20019,6.46
200110,8.11
200111,7.32
200112,7.17
20021,7.65
20022,7.87
20023,7.77
20024,8.1
20025,8.11
20026,8.39
20027,8.86
20028,9.56
20029,9.27
200210,9.46
200211,9.31
200212,9.07
20031,8.75
20032,8.55
20033,8.99
20034,8.73
20035,8.65
20036,8.33
20037,8.23
20038,8.41
20039,8.56
200310,8.65
200311,8.48
200312,8.44
20041,8.55
20042,8.18
20043,7.84
20044,8.02
20045,8.11
20046,8.26
20047,7.89
20048,7.88
20049,7.9
200410,7.75
200411,7.51
200412,6.97
20051,6.99
20052,6.86
20053,6.34
20054,6.29
20055,6.4
20056,6.2
20057,5.95
20058,5.7
20059,5.76
200510,6.09
200511,6.13
200512,5.74
20061,5.72
20062,5.4
20063,5.21
20064,5.01
20065,4.73
20066,4.88
20067,5.25
20068,4.82
20069,4.64
200610,4.89
200611,4.13
200612,4.18
20071,4.36
20072,3.94
20073,3.86
20074,4.42
20075,4.51
20076,4.53
20077,4.74
20078,4.22
20079,5.84
200710,6.07
200711,5.74
200712,6.56
20081,7.35
20082,8.73
20083,7.82
20084,9.56
20085,9.22
20086,8.6
20087,9.06
20088,9.86
20089,9.17
200810,10.43
200811,11.81
200812,11.01
20091,9.7
20092,9.33
20093,12.98
20094,13.77
20095,13.29
20096,13.47
20097,13.02
20098,13.34
20099,13.1
200910,12.89
200911,13.12
200912,12.87
20101,12.74
20102,12.33
20103,12.99
20104,12.25
20105,12.14
20106,12.61
20107,12.62
20108,12.75
20109,11.91
201010,11.7
201011,11.41
201012,11.09
20111,11.11
20112,11.06
20113,10.63
20114,10.9
20115,10.87
20116,10.74
20117,11.24
20118,10.86
20119,11.58
201110,11.23
201111,10.85
201112,10.56
20121,10.68
20122,10.09
20123,10.66
20124,10.52
20125,10.47
20126,10.87
20127,11.02
20128,10.58
20129,10.38
201210,10.27
201211,10.31
201212,10.53
20131,10.22
20132,9.82
20133,9.79
20134,9.91
20135,10.06
20136,9.49
20137,9.69
20138,9.59
20139,9.68
201310,9.58
201311,9.79
201312,9.54
