year,month,ret
1927,1,0.0202
1927,2,0.1021
1927,3,-0.0357
1927,4,0.0642
1927,5,0.1007
1927,6,-0.0449
1927,7,0.0549
1927,8,0.0137
1927,9,0.0068
1927,10,-0.1012
1927,11,0.1213
1927,12,0.0695
1928,1,0.0999
1928,2,-0.0483
1928,3,0.0896
1928,4,0.1559
1928,5,0.0574
1928,6,-0.0944
1928,7,-0.0032
1928,8,0.0351
1928,9,0.1343
1928,10,0.0645
1928,11,0.1271
1928,12,-0.0176
1929,1,0.0509
1929,2,-0.0133
1929,3,-0.0229
1929,4,-0.0195
1929,5,-0.1296
1929,6,0.0673
1929,7,0.0231
1929,8,-0.047
1929,9,-0.0984
1929,10,-0.1691
1929,11,-0.1555
1929,12,-0.0312
1930,1,0.1093
1930,2,0.0276
1930,3,0.118
1930,4,-0.0539
1930,5,-0.0625
1930,6,-0.2091
1930,7,0.011
1930,8,-0.0358
1930,9,-0.1959
1930,10,-0.0984
1930,11,-0.0385
1930,12,-0.1706
1931,1,0.1974
1931,2,0.2387
1931,3,-0.0873
1931,4,-0.1606
1931,5,-0.1593
1931,6,0.1761
1931,7,-0.0496
1931,8,-0.0537
1931,9,-0.3159
1931,10,0.0642
1931,11,-0.1182
1931,12,-0.2512
1932,1,0.061
1932,2,0.0357
1932,3,-0.1241
1932,4,-0.1787
1932,5,-0.0879
1932,6,-0.0366
1932,7,0.5478
1932,8,1.0038
1932,9,-0.1714
1932,10,-0.1979
1932,11,-0.0731
1932,12,-0.1629
1933,1,0.037
1933,2,-0.159
1933,3,0.185
1933,4,0.4824
1933,5,1.005
1933,6,0.2433
1933,7,-0.0635
1933,8,0.0155
1933,9,-0.1704
1933,10,-0.1609
1933,11,0.0871
1933,12,0.0264
1934,1,0.4094
1934,2,0.0623
1934,3,-0.0247
1934,4,-0.0027
1934,5,-0.1672
1934,6,0.0042
1934,7,-0.2324
1934,8,0.1294
1934,9,-0.0255
1934,10,-0.0256
1934,11,0.1506
1934,12,-0.025
1935,1,-0.0344
1935,2,-0.1058
1935,3,-0.1156
1935,4,0.1246
1935,5,0.0042
1935,6,0.0165
1935,7,0.1304
1935,8,0.2001
1935,9,-0.0559
1935,10,0.0452
1935,11,0.4193
1935,12,0.0206
1936,1,0.3246
1936,2,0.0923
1936,3,0.0075
1936,4,-0.226
1936,5,0.0646
1936,6,-0.0166
1936,7,0.0671
1936,8,0.0219
1936,9,0.0578
1936,10,0.0802
1936,11,0.126
1936,12,0.0361
1937,1,0.1131
1937,2,0.1032
1937,3,0.041
1937,4,-0.1801
1937,5,-0.0378
1937,6,-0.1388
1937,7,0.1109
1937,8,-0.0646
1937,9,-0.2322
1937,10,-0.0804
1937,11,-0.1648
1937,12,-0.1263
1938,1,0.0542
1938,2,0.0005
1938,3,-0.3142
1938,4,0.2031
1938,5,-0.0577
1938,6,0.2647
1938,7,0.1606
1938,8,-0.1292
1938,9,-0.0357
1938,10,0.1445
1938,11,-0.0695
1938,12,-0.0281
1939,1,-0.081
1939,2,0.0647
1939,3,-0.2081
1939,4,0.0372
1939,5,0.0729
1939,6,-0.1269
1939,7,0.1204
1939,8,-0.115
1939,9,0.8601
1939,10,-0.0934
1939,11,-0.1844
1939,12,-0.0178
1940,1,-0.034
1940,2,0.0878
1940,3,0.0345
1940,4,0.08
1940,5,-0.3315
1940,6,0.0732
1940,7,0.037
1940,8,-0.0104
1940,9,0.0447
1940,10,0.0545
1940,11,-0.001
1940,12,-0.0386
1941,1,0.0058
1941,2,-0.0276
1941,3,0.0417
1941,4,-0.0422
1941,5,-0.0126
1941,6,0.14
1941,7,0.2516
1941,8,0.008
1941,9,-0.0508
1941,10,-0.0795
1941,11,-0.0428
1941,12,-0.1451
1942,1,0.2562
1942,2,-0.0254
1942,3,-0.0653
1942,4,-0.0476
1942,5,0.0031
1942,6,0.0358
1942,7,0.0777
1942,8,0.0116
1942,9,0.0907
1942,10,0.1201
1942,11,-0.0621
1942,12,-0.0103
1943,1,0.326
1943,2,0.2687
1943,3,0.1518
1943,4,0.1178
1943,5,0.1495
1943,6,-0.019
1943,7,-0.0783
1943,8,-0.0086
1943,9,0.0598
1943,10,-0.0172
1943,11,-0.141
1943,12,0.1264
1944,1,0.0807
1944,2,0.0421
1944,3,0.0763
1944,4,-0.0413
1944,5,0.0896
1944,6,0.1648
1944,7,-0.0381
1944,8,0.0325
1944,9,-0.0042
1944,10,0.0062
1944,11,0.0168
1944,12,0.1525
1945,1,0.0383
1945,2,0.1141
1945,3,-0.1182
1945,4,0.0851
1945,5,0.0616
1945,6,0.1509
1945,7,-0.0421
1945,8,0.0488
1945,9,0.0768
1945,10,0.1016
1945,11,0.1166
1945,12,0.0304
1946,1,0.1674
1946,2,-0.0625
1946,3,0.0404
1946,4,0.0671
1946,5,0.0645
1946,6,-0.0608
1946,7,-0.0652
1946,8,-0.0914
1946,9,-0.1831
1946,10,0.0025
1946,11,0.0036
1946,12,0.0308
1947,1,0.0514
1947,2,0.003
1947,3,-0.0175
1947,4,-0.0934
1947,5,-0.0565
1947,6,0.0631
1947,7,0.09
1947,8,-0.0244
1947,9,0.0284
1947,10,0.0254
1947,11,-0.0229
1947,12,0.0449
1948,1,0.0121
1948,2,-0.0642
1948,3,0.1086
1948,4,0.0548
1948,5,0.0857
1948,6,-0.0011
1948,7,-0.0481
1948,8,-0.008
1948,9,-0.0573
1948,10,0.054
1948,11,-0.1186
1948,12,0.0084
1949,1,0.0435
1949,2,-0.0356
1949,3,0.0673
1949,4,-0.0298
1949,5,-0.0595
1949,6,-0.0042
1949,7,0.0517
1949,8,0.0175
1949,9,0.0366
1949,10,0.0452
1949,11,0.0004
1949,12,0.0846
1950,1,0.066
1950,2,0.0032
1950,3,0.0037
1950,4,0.0738
1950,5,0.0322
1950,6,-0.1034
1950,7,0.127
1950,8,0.0578
1950,9,0.0332
1950,10,-0.0021
1950,11,0.0527
1950,12,0.1439
1951,1,0.1127
1951,2,0.0013
1951,3,-0.0675
1951,4,0.0506
1951,5,-0.0402
1951,6,-0.0716
1951,7,0.0419
1951,8,0.0523
1951,9,0.0182
1951,10,-0.0167
1951,11,-0.0121
1951,12,0.003
1952,1,0.0186
1952,2,-0.0286
1952,3,0.0235
1952,4,-0.0505
1952,5,0.0182
1952,6,0.0326
1952,7,0.0045
1952,8,-0.0016
1952,9,-0.011
1952,10,-0.0128
1952,11,0.0467
1952,12,0.0176
1953,1,0.0401
1953,2,0.0226
1953,3,-0.0151
1953,4,-0.0171
1953,5,0.0146
1953,6,-0.0465
1953,7,0.0241
1953,8,-0.0524
1953,9,-0.0346
1953,10,0.0243
1953,11,0.0182
1953,12,-0.0363
1954,1,0.0878
1954,2,0.0007
1954,3,0.0231
1954,4,-0.0037
1954,5,0.0432
1954,6,0.0222
1954,7,0.1498
